"Index","AKAM.Close"
2007-01-03,52.07
2007-01-04,53.3
2007-01-05,53.19
2007-01-08,53.01
2007-01-09,52.67
2007-01-10,53.79
2007-01-11,54.59
2007-01-12,54.64
2007-01-16,55.16
2007-01-17,54.81
2007-01-18,52.84
2007-01-19,54.1
2007-01-22,52.67
2007-01-23,52.66
2007-01-24,54.45
2007-01-25,53.66
2007-01-26,54.29
2007-01-29,55.14
2007-01-30,55.87
2007-01-31,56.18
2007-02-01,55.51
2007-02-02,55.55
2007-02-05,58.18
2007-02-06,55.15
2007-02-07,56.95
2007-02-08,59.15
2007-02-09,56.16
2007-02-12,55.1
2007-02-13,55.54
2007-02-14,56.6
2007-02-15,56.39
2007-02-16,55.99
2007-02-20,56.96
2007-02-21,57.31
2007-02-22,57.07
2007-02-23,56.4
2007-02-26,55.48
2007-02-27,51.37
2007-02-28,51.57
2007-03-01,50.13
2007-03-02,47.78
2007-03-05,47.82
2007-03-06,48.21
2007-03-07,48.1
2007-03-08,50.08
2007-03-09,50.41
2007-03-12,52.58
2007-03-13,51.5
2007-03-14,51.85
2007-03-15,51.43
2007-03-16,51.08
2007-03-19,52.05
2007-03-20,51.89
2007-03-21,53.03
2007-03-22,52.45
2007-03-23,51.37
2007-03-26,51.44
2007-03-27,50.96
2007-03-28,49.41
2007-03-29,50.1
2007-03-30,49.92
2007-04-02,49.52
2007-04-03,50.99
2007-04-04,51.17
2007-04-05,50.97
2007-04-09,51.66
2007-04-10,52.1
2007-04-11,52.58
2007-04-12,53.29
2007-04-13,53
2007-04-16,54.26
2007-04-17,53.58
2007-04-18,53.59
2007-04-19,53.65
2007-04-20,52.9
2007-04-23,54.72
2007-04-24,54.59
2007-04-25,48.97
2007-04-26,46.55
2007-04-27,44.8
2007-04-30,44.08
2007-05-01,43.16
2007-05-02,44.61
2007-05-03,44.37
2007-05-04,46.08
2007-05-07,44.56
2007-05-08,44.33
2007-05-09,44.35
2007-05-10,44.19
2007-05-11,45.7
2007-05-14,44.27
2007-05-15,42.3
2007-05-16,42.87
2007-05-17,43.21
2007-05-18,44.47
2007-05-21,45.21
2007-05-22,44.66
2007-05-23,43.59
2007-05-24,42.52
2007-05-25,43.14
2007-05-29,41.96
2007-05-30,42.61
2007-05-31,44.21
2007-06-01,43.62
2007-06-04,43.83
2007-06-05,44.05
2007-06-06,43.7
2007-06-07,42.23
2007-06-08,45.6
2007-06-11,46.52
2007-06-12,45.59
2007-06-13,46.96
2007-06-14,48.05
2007-06-15,48.85
2007-06-18,47.81
2007-06-19,46.9
2007-06-20,46.82
2007-06-21,48.16
2007-06-22,47.48
2007-06-25,47.83
2007-06-26,47.6
2007-06-27,48.24
2007-06-28,49.2
2007-06-29,48.64
2007-07-02,48.2
2007-07-03,48.09
2007-07-05,48.15
2007-07-06,47.54
2007-07-09,47.53
2007-07-10,49.45
2007-07-11,50.32
2007-07-12,50.97
2007-07-13,50.3
2007-07-16,48.92
2007-07-17,49.14
2007-07-18,49.48
2007-07-19,50.02
2007-07-20,49.16
2007-07-23,48.7
2007-07-24,46.25
2007-07-25,47.18
2007-07-26,38.27
2007-07-27,36.71
2007-07-30,36.11
2007-07-31,33.96
2007-08-01,33.66
2007-08-02,34.81
2007-08-03,32.9
2007-08-06,33.09
2007-08-07,33.77
2007-08-08,34.49
2007-08-09,34.48
2007-08-10,34.18
2007-08-13,33.83
2007-08-14,32.35
2007-08-15,31.75
2007-08-16,28.7
2007-08-17,30.51
2007-08-20,31.18
2007-08-21,31.02
2007-08-22,31.89
2007-08-23,30.83
2007-08-24,32.86
2007-08-27,32.61
2007-08-28,31.5
2007-08-29,32.47
2007-08-30,32.92
2007-08-31,32.22
2007-09-04,32.09
2007-09-05,31.91
2007-09-06,31.59
2007-09-07,30.26
2007-09-10,29.49
2007-09-11,30.17
2007-09-12,30.08
2007-09-13,30.28
2007-09-14,31.32
2007-09-17,30.62
2007-09-18,31.98
2007-09-19,32.26
2007-09-20,30.37
2007-09-21,30.16
2007-09-24,29.66
2007-09-25,30.14
2007-09-26,29.79
2007-09-27,28.28
2007-09-28,28.73
2007-10-01,28.75
2007-10-02,30.97
2007-10-03,31.07
2007-10-04,30.01
2007-10-05,31.29
2007-10-08,33.92
2007-10-09,35.62
2007-10-10,37.13
2007-10-11,35.36
2007-10-12,36.74
2007-10-15,35.1
2007-10-16,33.3
2007-10-17,33.7
2007-10-18,34.38
2007-10-19,33.08
2007-10-22,32.78
2007-10-23,34.4
2007-10-24,32.97
2007-10-25,37.13
2007-10-26,37.81
2007-10-29,39.23
2007-10-30,39.74
2007-10-31,39.19
2007-11-01,38.02
2007-11-02,38.62
2007-11-05,38.74
2007-11-06,39.7
2007-11-07,37.97
2007-11-08,36.95
2007-11-09,36.55
2007-11-12,35.54
2007-11-13,37.02
2007-11-14,37.73
2007-11-15,36.37
2007-11-16,36.15
2007-11-19,35.81
2007-11-20,36.19
2007-11-21,35.88
2007-11-23,36.35
2007-11-26,35.63
2007-11-27,36.64
2007-11-28,37.92
2007-11-29,37.69
2007-11-30,38.06
2007-12-03,37.17
2007-12-04,36.7
2007-12-05,38.21
2007-12-06,39.22
2007-12-07,39.01
2007-12-10,38.51
2007-12-11,37.1
2007-12-12,34.94
2007-12-13,35.54
2007-12-14,35.37
2007-12-17,33.8
2007-12-18,33.45
2007-12-19,34.74
2007-12-20,35.9
2007-12-21,35.95
2007-12-24,36.45
2007-12-26,36.8
2007-12-27,35.46
2007-12-28,35.35
2007-12-31,34.6
2008-01-02,33.2
2008-01-03,34.14
2008-01-04,32
2008-01-07,31.6
2008-01-08,29.47
2008-01-09,29.22
2008-01-10,28.03
2008-01-11,27.52
2008-01-14,28.38
2008-01-15,26.95
2008-01-16,25.88
2008-01-17,26.64
2008-01-18,27
2008-01-22,27.48
2008-01-23,27.79
2008-01-24,30.39
2008-01-25,29.51
2008-01-28,30.13
2008-01-29,29.72
2008-01-30,29.5
2008-01-31,30.2
2008-02-01,31.04
2008-02-04,30.05
2008-02-05,29.95
2008-02-06,29.73
2008-02-07,32.41
2008-02-08,32.34
2008-02-11,34
2008-02-12,33.14
2008-02-13,34.24
