"Index","NTRS.Close"
2007-01-03,61.31
2007-01-04,60.77
2007-01-05,59.97
2007-01-08,60.52
2007-01-09,61.02
2007-01-10,61.31
2007-01-11,61.53
2007-01-12,61.57
2007-01-16,62.33
2007-01-17,60.17
2007-01-18,60.59
2007-01-19,60.57
2007-01-22,60.61
2007-01-23,60.37
2007-01-24,60.95
2007-01-25,60.2
2007-01-26,60.03
2007-01-29,60.22
2007-01-30,60.47
2007-01-31,60.75
2007-02-01,61.04
2007-02-02,60.66
2007-02-05,61.99
2007-02-06,62.26
2007-02-07,62.4
2007-02-08,62.38
2007-02-09,61.94
2007-02-12,62.01
2007-02-13,62.17
2007-02-14,62.72
2007-02-15,63.09
2007-02-16,63.08
2007-02-20,63.36
2007-02-21,63.04
2007-02-22,63.15
2007-02-23,62.81
2007-02-26,62.37
2007-02-27,59.91
2007-02-28,60.3
2007-03-01,60.09
2007-03-02,59.51
2007-03-05,58.51
2007-03-06,59.79
2007-03-07,58.98
2007-03-08,59.42
2007-03-09,59.4
2007-03-12,58.95
2007-03-13,56.82
2007-03-14,57.84
2007-03-15,58.03
2007-03-16,57.85
2007-03-19,58.61
2007-03-20,59.14
2007-03-21,61.33
2007-03-22,61.01
2007-03-23,61.36
2007-03-26,61.18
2007-03-27,60.31
2007-03-28,59.78
2007-03-29,60.39
2007-03-30,60.14
2007-04-02,59.96
2007-04-03,60.69
2007-04-04,60.35
2007-04-05,61.05
2007-04-09,60.83
2007-04-10,60.5
2007-04-11,60.43
2007-04-12,60.41
2007-04-13,61.2
2007-04-16,62.55
2007-04-17,64.28
2007-04-18,64.64
2007-04-19,63.94
2007-04-20,64.6
2007-04-23,64.24
2007-04-24,63.97
2007-04-25,64.86
2007-04-26,64.43
2007-04-27,64.12
2007-04-30,62.95
2007-05-01,63.03
2007-05-02,63.42
2007-05-03,63.84
2007-05-04,63.76
2007-05-07,64.11
2007-05-08,64.1
2007-05-09,65.07
2007-05-10,64.22
2007-05-11,64.83
2007-05-14,64.09
2007-05-15,63.71
2007-05-16,64.35
2007-05-17,64.03
2007-05-18,64.17
2007-05-21,64.07
2007-05-22,64.21
2007-05-23,64.28
2007-05-24,63.79
2007-05-25,64.55
2007-05-29,64.5
2007-05-30,65.02
2007-05-31,65.08
2007-06-01,65.04
2007-06-04,65.17
2007-06-05,64.02
2007-06-06,63.85
2007-06-07,62.55
2007-06-08,63.73
2007-06-11,64.19
2007-06-12,63.2
2007-06-13,64.84
2007-06-14,64.85
2007-06-15,65.37
2007-06-18,65.37
2007-06-19,65.77
